Ballot order,Collection,Box,Position,Stamp,Ballot id,Comments
0,AllBallots,box1,250,,bid250,,
1,AllBallots,box1,18,,bid518,,
2,AllBallots,box1,240,,bid740,,
3,AllBallots,box1,450,,bid450,,
4,AllBallots,box1,272,,bid272,,
5,AllBallots,box1,113,,bid613,,
6,AllBallots,box1,343,,bid343,,
7,AllBallots,box1,97,,bid846,,
8,AllBallots,box1,100,,bid100,,
9,AllBallots,box1,193,,bid942,,
10,AllBallots,box1,43,,bid543,,
11,AllBallots,box1,128,,bid628,,
12,AllBallots,box1,58,,bid58,,
13,AllBallots,box1,189,,bid938,,
14,AllBallots,box1,37,,bid537,,
15,AllBallots,box1,318,,bid318,,
16,AllBallots,box1,371,,bid371,,
17,AllBallots,box1,219,,bid968,,
18,AllBallots,box1,237,,bid986,,
19,AllBallots,box1,161,,bid161,,
20,AllBallots,box1,140,,bid640,,
21,AllBallots,box1,200,,bid949,,
22,AllBallots,box1,62,,bid62,,
23,AllBallots,box1,39,,bid788,,
24,AllBallots,box1,156,,bid905,,
25,AllBallots,box1,53,,bid802,,
26,AllBallots,box1,138,,bid638,,
27,AllBallots,box1,463,,bid463,,
28,AllBallots,box1,451,,bid451,,
29,AllBallots,box1,184,,bid184,,
30,AllBallots,box1,212,,bid212,,
31,AllBallots,box1,379,,bid379,,
32,AllBallots,box1,216,,bid216,,
33,AllBallots,box1,60,,bid809,,
34,AllBallots,box1,232,,bid732,,
35,AllBallots,box1,455,,bid455,,
36,AllBallots,box1,202,,bid951,,
37,AllBallots,box1,47,,bid47,,
38,AllBallots,box1,56,,bid805,,
39,AllBallots,box1,110,,bid610,,
40,AllBallots,box1,11,,bid511,,
41,AllBallots,box1,199,,bid948,,
42,AllBallots,box1,38,,bid38,,
43,AllBallots,box1,402,,bid402,,
44,AllBallots,box1,233,,bid982,,
45,AllBallots,box1,405,,bid405,,
46,AllBallots,box1,25,,bid25,,
47,AllBallots,box1,154,,bid654,,
48,AllBallots,box1,127,,bid876,,
49,AllBallots,box1,85,,bid85,,
50,AllBallots,box1,394,,bid394,,
51,AllBallots,box1,107,,bid607,,
52,AllBallots,box1,231,,bid980,,
53,AllBallots,box1,495,,bid495,,
54,AllBallots,box1,108,,bid857,,
55,AllBallots,box1,339,,bid339,,
56,AllBallots,box1,288,,bid288,,
57,AllBallots,box1,299,,bid299,,
58,AllBallots,box1,68,,bid68,,
59,AllBallots,box1,298,,bid298,,
60,AllBallots,box1,90,,bid90,,
61,AllBallots,box1,127,,bid627,,
62,AllBallots,box1,180,,bid929,,
63,AllBallots,box1,317,,bid317,,
64,AllBallots,box1,82,,bid82,,
65,AllBallots,box1,20,,bid520,,
