Collection,Ballot id,Contest,Selections
AllBallots,bid1,Aurora2K,2-Bob
AllBallots,bid2,Aurora2K,1-Peter,2-Bob
AllBallots,bid3,Aurora2K,1-Peter,2-Bob
AllBallots,bid4,Aurora2K,2-Bob
AllBallots,bid5,Aurora2K,1-Peter,2-Bob
AllBallots,bid6,Aurora2K,1-Peter,2-Bob
AllBallots,bid7,Aurora2K,1-Peter,2-Bob
AllBallots,bid8,Aurora2K,1-Peter,2-Bob
AllBallots,bid9,Aurora2K,1-Alice
AllBallots,bid10,Aurora2K,1-Peter,2-Bob
AllBallots,bid11,Aurora2K,1-Alice
AllBallots,bid12,Aurora2K,1-Alice
AllBallots,bid13,Aurora2K,1-Alice
AllBallots,bid14,Aurora2K,2-Bob
AllBallots,bid15,Aurora2K,2-Bob
AllBallots,bid16,Aurora2K,2-Bob
AllBallots,bid17,Aurora2K,2-Bob
AllBallots,bid18,Aurora2K,2-Bob
AllBallots,bid19,Aurora2K,1-Alice
AllBallots,bid20,Aurora2K,1-Alice
AllBallots,bid21,Aurora2K,1-Alice
AllBallots,bid22,Aurora2K,1-Peter,2-Bob
AllBallots,bid23,Aurora2K,1-Alice
AllBallots,bid24,Aurora2K,2-Bob
AllBallots,bid25,Aurora2K,1-Peter,2-Bob
AllBallots,bid26,Aurora2K,1-Alice
AllBallots,bid27,Aurora2K,2-Bob
AllBallots,bid28,Aurora2K,1-Peter,2-Bob
AllBallots,bid29,Aurora2K,1-Peter,2-Bob
AllBallots,bid30,Aurora2K,2-Bob
AllBallots,bid31,Aurora2K,1-Peter,2-Bob
AllBallots,bid32,Aurora2K,1-Alice
AllBallots,bid33,Aurora2K,1-Peter,2-Bob
AllBallots,bid34,Aurora2K,2-Bob
AllBallots,bid35,Aurora2K,1-Alice
AllBallots,bid36,Aurora2K,2-Bob
AllBallots,bid37,Aurora2K,2-Bob
AllBallots,bid38,Aurora2K,1-Peter,2-Bob
AllBallots,bid39,Aurora2K,1-Alice
AllBallots,bid40,Aurora2K,1-Peter,2-Bob
AllBallots,bid41,Aurora2K,2-Bob
AllBallots,bid42,Aurora2K,1-Alice
AllBallots,bid43,Aurora2K,1-Alice
AllBallots,bid44,Aurora2K,1-Alice
AllBallots,bid45,Aurora2K,1-Peter,2-Bob
AllBallots,bid46,Aurora2K,1-Alice
AllBallots,bid47,Aurora2K,1-Alice
AllBallots,bid48,Aurora2K,1-Alice
AllBallots,bid49,Aurora2K,1-Peter,2-Bob
AllBallots,bid50,Aurora2K,1-Alice
AllBallots,bid51,Aurora2K,1-Peter,2-Bob
AllBallots,bid52,Aurora2K,1-Alice
AllBallots,bid53,Aurora2K,2-Bob
AllBallots,bid54,Aurora2K,1-Alice
AllBallots,bid55,Aurora2K,1-Alice
AllBallots,bid56,Aurora2K,1-Alice
AllBallots,bid57,Aurora2K,1-Alice
AllBallots,bid58,Aurora2K,1-Alice
AllBallots,bid59,Aurora2K,1-Alice
AllBallots,bid60,Aurora2K,1-Alice
AllBallots,bid61,Aurora2K,1-Alice
AllBallots,bid62,Aurora2K,2-Bob
AllBallots,bid63,Aurora2K,1-Alice
AllBallots,bid64,Aurora2K,1-Alice
AllBallots,bid65,Aurora2K,1-Alice
AllBallots,bid66,Aurora2K,1-Peter,2-Bob
AllBallots,bid67,Aurora2K,2-Bob
AllBallots,bid68,Aurora2K,1-Alice
AllBallots,bid69,Aurora2K,2-Bob
AllBallots,bid70,Aurora2K,1-Peter,2-Bob
AllBallots,bid71,Aurora2K,1-Alice
AllBallots,bid72,Aurora2K,1-Alice
AllBallots,bid73,Aurora2K,2-Bob
AllBallots,bid74,Aurora2K,1-Alice
AllBallots,bid75,Aurora2K,1-Peter,2-Bob
AllBallots,bid76,Aurora2K,1-Peter,2-Bob
AllBallots,bid77,Aurora2K,1-Alice
AllBallots,bid78,Aurora2K,1-Alice
AllBallots,bid79,Aurora2K,1-Peter,2-Bob
AllBallots,bid80,Aurora2K,1-Alice
AllBallots,bid81,Aurora2K,1-Alice
AllBallots,bid82,Aurora2K,2-Bob
AllBallots,bid83,Aurora2K,1-Alice
AllBallots,bid84,Aurora2K,1-Alice
AllBallots,bid85,Aurora2K,2-Bob
AllBallots,bid86,Aurora2K,1-Alice
AllBallots,bid87,Aurora2K,1-Alice
AllBallots,bid88,Aurora2K,1-Alice
AllBallots,bid89,Aurora2K,2-Bob
AllBallots,bid90,Aurora2K,1-Alice
AllBallots,bid91,Aurora2K,1-Alice
AllBallots,bid92,Aurora2K,1-Peter,2-Bob
AllBallots,bid93,Aurora2K,1-Alice
AllBallots,bid94,Aurora2K,2-Bob
AllBallots,bid95,Aurora2K,2-Bob
AllBallots,bid96,Aurora2K,1-Alice
AllBallots,bid97,Aurora2K,1-Alice
AllBallots,bid98,Aurora2K,1-Alice
AllBallots,bid99,Aurora2K,1-Alice
AllBallots,bid100,Aurora2K,2-Bob
AllBallots,bid101,Aurora2K,1-Alice
AllBallots,bid102,Aurora2K,1-Peter,2-Bob
AllBallots,bid103,Aurora2K,1-Alice
AllBallots,bid104,Aurora2K,1-Peter,2-Bob
AllBallots,bid105,Aurora2K,1-Alice
AllBallots,bid106,Aurora2K,1-Alice
AllBallots,bid107,Aurora2K,1-Alice
AllBallots,bid108,Aurora2K,1-Alice
AllBallots,bid109,Aurora2K,1-Peter,2-Bob
AllBallots,bid110,Aurora2K,1-Peter,2-Bob
AllBallots,bid111,Aurora2K,1-Alice
AllBallots,bid112,Aurora2K,1-Alice
AllBallots,bid113,Aurora2K,1-Alice
AllBallots,bid114,Aurora2K,2-Bob
AllBallots,bid115,Aurora2K,2-Bob
AllBallots,bid116,Aurora2K,2-Bob
AllBallots,bid117,Aurora2K,2-Bob
AllBallots,bid118,Aurora2K,2-Bob
AllBallots,bid119,Aurora2K,2-Bob
AllBallots,bid120,Aurora2K,1-Alice
AllBallots,bid121,Aurora2K,1-Alice
AllBallots,bid122,Aurora2K,2-Bob
AllBallots,bid123,Aurora2K,2-Bob
AllBallots,bid124,Aurora2K,1-Alice
AllBallots,bid125,Aurora2K,1-Peter,2-Bob
AllBallots,bid126,Aurora2K,2-Bob
AllBallots,bid127,Aurora2K,1-Peter,2-Bob
AllBallots,bid128,Aurora2K,2-Bob
AllBallots,bid129,Aurora2K,1-Alice
AllBallots,bid130,Aurora2K,1-Alice
AllBallots,bid131,Aurora2K,2-Bob
AllBallots,bid132,Aurora2K,2-Bob
AllBallots,bid133,Aurora2K,2-Bob
AllBallots,bid134,Aurora2K,1-Peter,2-Bob
AllBallots,bid135,Aurora2K,2-Bob
